,Answer_1,Answer_10,Answer_11,Answer_12,Answer_13,Answer_14,Answer_15,Answer_16,Answer_17,Answer_18,Answer_19,Answer_2,Answer_20,Answer_21,Answer_3,Answer_4,Answer_5,Answer_6,Answer_7,Answer_8,Answer_9
20,0.0,0.12837837837837837,0.003256212510711225,0.08108108108108109,0.00242914979757085,0.12162162162162163,0.0032017075773745998,0.1081081081081081,0.003179650238473768,0.12162162162162163,0.0031852769421341354,0.0,0.05405405405405405,0.014109347442680775,0.0,0.10135135135135136,0.0026325026325026324,0.12162162162162163,0.0030933150025777623,0.08783783783783784,0.0023090586145648314
21,0.019230769230769232,0.109375,0.0036144578313253013,0.10416666666666667,0.003976143141153082,0.125,0.004262877442273535,0.07291666666666666,0.0028414856910899127,0.10416666666666667,0.003572066440435792,0.005208333333333333,0.03645833333333333,0.01303538175046555,1.70094062016295e-05,0.11979166666666667,0.004003481288076588,0.125,0.004119464469618949,0.09375,0.003168456257701109
24,0.0,0.16901408450704228,0.00411663807890223,0.11971830985915495,0.003358356380877124,0.11267605633802817,0.0028149190710767065,0.07746478873239437,0.002241238793806031,0.1619718309859155,0.004129263913824057,0.0,0.056338028169014086,0.015594541910331385,0.0,0.1267605633802817,0.0031288023639840083,0.14788732394366197,0.003601440576230492,0.09859154929577466,0.0024783147459727386
27,0.0,0.13924050632911392,0.0037690594483467538,0.10759493670886076,0.0034013605442176874,0.12658227848101267,0.003521126760563381,0.08860759493670886,0.0028169014084507044,0.10126582278481013,0.0028576531523486336,0.0,0.05063291139240506,0.014519056261343012,0.0,0.12658227848101267,0.0034578146611341635,0.12658227848101267,0.003419972640218878,0.1329113924050633,0.0037240645504522077
28,0.0,0.07432432432432433,0.0018893850910340088,0.14189189189189189,0.004294478527607362,0.08108108108108109,0.002126151665485471,0.11486486486486487,0.003415026114905585,0.08783783783783784,0.0023495391288631848,0.0,0.05405405405405405,0.014545454545454544,0.0,0.15540540540540543,0.00400627068454973,0.060810810810810814,0.0015466575012888812,0.1081081081081081,0.0027996500437445318
30,0.02,0.13986013986013987,0.00343878954607978,0.1188811188811189,0.00338375796178344,0.18181818181818182,0.004609929078014185,0.1048951048951049,0.003,0.11188811188811189,0.002822865208186309,0.006993006993006993,0.04895104895104895,0.012987012987012986,1.7008827581514806e-05,0.14685314685314685,0.0037017451084082496,0.17482517482517482,0.004304407713498622,0.1048951048951049,0.0026642984014209592
34,0.017857142857142856,0.12056737588652482,0.002932045532942394,0.09219858156028368,0.0026595744680851063,0.11347517730496452,0.0028388928317955994,0.09219858156028368,0.0026267932915740554,0.07801418439716311,0.001963233981795467,0.0070921985815602835,0.04964539007092198,0.013333333333333332,1.7010563559970742e-05,0.1276595744680851,0.0031435557107928748,0.11347517730496452,0.0027477245406148034,0.11347517730496452,0.002841413603267625
35,0.0,0.12751677852348992,0.0032719132081970035,0.10067114093959731,0.003022974607013301,0.14093959731543623,0.003719447396386823,0.10067114093959731,0.0029371450949676916,0.15436241610738255,0.004100552683187734,0.0,0.053691275167785234,0.015267175572519082,0.0,0.11409395973154363,0.003004064322318431,0.12080536912751678,0.0030858906223212757,0.10738255033557047,0.002842928216062544
36,0.0,0.11510791366906474,0.0027448962086121117,0.1510791366906475,0.004076086956521739,0.10071942446043165,0.002460456942003515,0.11510791366906474,0.003329171868497711,0.09352517985611511,0.002313167259786477,0.0,0.05755395683453237,0.015968063872255488,0.0,0.15827338129496402,0.0038401117123407227,0.17266187050359713,0.004106073567151411,0.12949640287769784,0.003189792663476874
39,0.0,0.136986301369863,0.0034524426031417228,0.0684931506849315,0.0020222446916076846,0.0821917808219178,0.00209570380719525,0.054794520547945195,0.0015999999999999999,0.136986301369863,0.003599064243296743,0.0,0.054794520547945195,0.015384615384615384,0.0,0.10273972602739725,0.0026389866291344124,0.10958904109589039,0.0027373823781009408,0.10958904109589039,0.0028278543655001764
